Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,MonetaryRank
76,26,23731.27,2,4,3,243,Potential Loyalist.,438.0
8,20,18993.77,5,2,2,522,Hibernating,747.0
3,26,31143.28,5,4,5,545,Loyal Customers,81.0
21,28,24580.51,4,5,4,454,Loyal Customers,391.0
244,19,20866.06,1,1,2,112,At Risk.,631.0
20,29,25677.14,4,5,4,454,Loyal Customers,313.0
85,20,19215.59,1,2,2,122,At Risk.,730.0
11,26,22368.02,5,4,3,543,Loyal Customers,540.0
43,30,31308.12,2,5,5,255,Potential Loyalist.,75.0
22,25,28145.06,4,4,5,445,Loyal Customers,184.0
6,19,17131.91,5,1,1,511,Hibernating,854.0
40,29,25287.92,3,5,4,354,Potential Loyalist.,339.0
1,17,15460.38,5,1,1,511,Hibernating,917.0
132,23,28357.19,1,3,5,135,Potential Loyalist.,172.0
31,31,29891.15,3,5,5,355,Potential Loyalist.,112.0
59,21,17499.82,2,2,1,221,At Risk.,833.0
16,20,19262.11,4,2,2,422,Potential Loyalist.,727.0
4,19,19104.42,5,1,2,512,Hibernating,742.0
25,29,26939.121,3,5,4,354,Potential Loyalist.,242.0
11,24,28662.05,5,3,5,535,Hibernating,159.0
6,27,29867.709,5,4,5,545,Loyal Customers,113.0
105,24,23163.03,1,3,3,133,Potential Loyalist.,488.0
33,18,15766.28,3,1,1,311,Potential Loyalist.,905.0
17,19,26530.97,4,1,4,414,Potential Loyalist.,266.0
3,30,23458.25,5,5,3,553,Loyal Customers,463.0
53,19,17262.89,2,1,1,211,At Risk.,844.0
27,22,23284.31,3,2,3,323,Potential Loyalist.,477.0
63,17,24587.02,2,1,4,214,At Risk.,390.0
16,24,21757.67,4,3,3,433,Potential Loyalist.,582.0
37,12,12595.31,3,1,1,311,Potential Loyalist.,983.0
25,17,13590.87,3,1,1,311,Potential Loyalist.,966.0
128,30,31363.84,1,5,5,155,Potential Loyalist.,72.0
57,21,20067.81,2,2,2,222,At Risk.,670.0
32,19,19025.72,3,1,2,312,Potential Loyalist.,746.0
27,25,22845.44,3,4,3,343,Potential Loyalist.,506.0
51,23,31648.97,2,3,5,235,Potential Loyalist.,65.0
8,25,19982.36,5,4,2,542,Loyal Customers,683.0
69,25,23137.08,2,4,3,243,Potential Loyalist.,491.0
5,30,32229.5,5,5,5,555,Champions,52.0
43,19,15169.54,2,1,1,211,At Risk.,931.0
9,22,17839.95,5,2,1,521,Hibernating,815.0
88,28,26477.91,1,5,4,154,Potential Loyalist.,268.0
10,30,26564.24,5,5,4,554,Loyal Customers,264.0
25,37,29558.129,3,5,5,355,Potential Loyalist.,127.0
5,14,14635.65,5,1,1,511,Hibernating,943.0
62,20,23618.99,2,2,3,223,At Risk.,449.0
81,22,22869.38,1,2,3,123,At Risk.,503.0
40,18,18191.01,3,1,2,312,Potential Loyalist.,795.0
105,20,26893.441,1,2,4,124,At Risk.,245.0
104,21,18384.71,1,2,2,122,At Risk.,783.0
33,25,24155.01,3,4,3,343,Potential Loyalist.,412.0
3,31,28005.14,5,5,5,555,Champions,194.0
1,20,17762.44,5,2,1,521,Hibernating,819.0
138,20,19410.93,1,2,2,122,At Risk.,719.0
83,24,21808.06,1,3,3,133,Potential Loyalist.,574.0
40,34,33617.24,3,5,5,355,Potential Loyalist.,32.0
49,28,24635.16,2,5,4,254,Potential Loyalist.,386.0
93,19,19246.11,1,1,2,112,At Risk.,729.0
210,25,26887.19,1,4,4,144,Potential Loyalist.,246.0
3,26,29234.49,5,4,5,545,Loyal Customers,144.0
33,21,20399.19,3,2,2,322,Potential Loyalist.,651.0
272,23,20635.04,1,3,2,132,Potential Loyalist.,639.0
38,19,16764.21,3,1,1,311,Potential Loyalist.,864.0
174,17,16016.11,1,1,1,111,At Risk.,894.0
2,32,23516.38,5,5,3,553,Loyal Customers,458.0
7,24,29484.01,5,3,5,535,Hibernating,133.0
171,20,21495.83,1,2,3,123,At Risk.,593.0
70,28,33240.71,2,5,5,255,Potential Loyalist.,35.0
296,26,28065.93,1,4,5,145,Potential Loyalist.,191.0
42,15,16671.72,3,1,1,311,Potential Loyalist.,868.0
13,27,25634.43,4,4,4,444,Loyal Customers,316.0
9,21,26321.66,5,2,4,524,Hibernating,278.0
11,26,19192.62,5,4,2,542,Loyal Customers,733.0
18,20,20249.47,4,2,2,422,Potential Loyalist.,662.0
25,18,15608.84,3,1,1,311,Potential Loyalist.,912.0
50,13,11735.21,2,1,1,211,At Risk.,994.0
75,23,19834.11,2,3,2,232,Potential Loyalist.,695.0
59,23,18648.32,2,3,2,232,Potential Loyalist.,769.0
70,25,26021.7,2,4,4,244,Potential Loyalist.,295.0
32,26,33993.03,3,4,5,345,Potential Loyalist.,28.0
11,19,22324.73,5,1,3,513,Hibernating,543.0
1,29,29017.0,5,5,5,555,Champions,149.0
169,20,20311.49,1,2,2,122,At Risk.,657.0
63,29,32829.85,2,5,5,255,Potential Loyalist.,42.0
3,22,22238.59,5,2,3,523,Hibernating,549.0
49,31,27393.78,2,5,4,254,Potential Loyalist.,215.0
42,32,36781.37,3,5,5,355,Potential Loyalist.,12.0
10,34,33987.78,5,5,5,555,Champions,29.0
84,22,27047.95,1,2,4,124,At Risk.,234.0
8,32,34487.06,5,5,5,555,Champions,25.0
2,26,27556.79,5,4,4,544,Loyal Customers,210.0
74,25,30228.38,2,4,5,245,Potential Loyalist.,102.0
9,23,19254.17,5,3,2,532,Hibernating,728.0
27,22,25731.73,3,2,4,324,Potential Loyalist.,307.0
14,30,37627.78,4,5,5,455,Loyal Customers,9.0
1,24,22906.42,5,3,3,533,Hibernating,502.0
75,18,17311.5,2,1,1,211,At Risk.,843.0
133,26,21310.69,1,4,2,142,Potential Loyalist.,602.0
12,20,19792.84,4,2,2,422,Potential Loyalist.,700.0
60,24,26193.06,2,3,4,234,Potential Loyalist.,285.0
94,24,26881.66,1,3,4,134,Potential Loyalist.,247.0
16,26,23410.05,4,4,3,443,Loyal Customers,467.0
10,30,28863.54,5,5,5,555,Champions,154.0
6,35,37738.94,5,5,5,555,Champions,8.0
7,26,26897.07,5,4,4,544,Loyal Customers,244.0
17,15,10974.66,4,1,1,411,Potential Loyalist.,995.0
43,26,28694.82,2,4,5,245,Potential Loyalist.,158.0
7,24,22765.35,5,3,3,533,Hibernating,515.0
9,37,32752.44,5,5,5,555,Champions,44.0
21,17,15720.88,4,1,1,411,Potential Loyalist.,908.0
139,28,28432.83,1,5,5,155,Potential Loyalist.,169.0
7,23,25724.35,5,3,4,534,Hibernating,310.0
55,24,26565.7,2,3,4,234,Potential Loyalist.,263.0
59,27,26817.06,2,4,4,244,Potential Loyalist.,252.0
11,26,28952.6,5,4,5,545,Loyal Customers,150.0
8,16,17657.55,5,1,1,511,Hibernating,829.0
30,19,16856.76,3,1,1,311,Potential Loyalist.,861.0
176,27,18133.04,1,4,1,141,Potential Loyalist.,803.0
55,32,25814.05,2,5,4,254,Potential Loyalist.,303.0
18,22,17665.76,4,2,1,421,Potential Loyalist.,828.0
29,26,28117.87,3,4,5,345,Potential Loyalist.,187.0
38,26,29119.83,3,4,5,345,Potential Loyalist.,147.0
29,24,25493.96,3,3,4,334,Potential Loyalist.,327.0
122,24,20627.49,1,3,2,132,Potential Loyalist.,640.0
5,26,27910.2,5,4,5,545,Loyal Customers,199.0
20,23,23642.45,4,3,3,433,Potential Loyalist.,443.0
76,17,21800.85,2,1,3,213,At Risk.,577.0
3,38,30040.291,5,5,5,555,Champions,107.0
100,33,28872.22,1,5,5,155,Potential Loyalist.,153.0
119,21,20515.541,1,2,2,122,At Risk.,646.0
35,25,26611.33,3,4,4,344,Potential Loyalist.,261.0
255,17,19854.87,1,1,2,112,At Risk.,692.0
3,20,18310.12,5,2,2,522,Hibernating,788.0
115,24,22484.42,1,3,3,133,Potential Loyalist.,534.0
4,25,26177.49,5,4,4,544,Loyal Customers,289.0
18,18,18761.56,4,1,2,412,Potential Loyalist.,761.0
109,28,25941.541,1,5,4,154,Potential Loyalist.,299.0
97,26,26053.58,1,4,4,144,Potential Loyalist.,294.0
33,26,30189.9,3,4,5,345,Potential Loyalist.,105.0
72,20,18169.69,2,2,2,222,At Risk.,799.0
78,29,21753.15,1,5,3,153,Potential Loyalist.,583.0
20,29,25985.53,4,5,4,454,Loyal Customers,297.0
62,15,18960.969,2,1,2,212,At Risk.,751.0
33,25,25533.07,3,4,4,344,Potential Loyalist.,326.0
4,26,23003.62,5,4,3,543,Loyal Customers,498.0
25,23,18026.81,3,3,1,331,Potential Loyalist.,808.0
41,25,24657.65,3,4,4,344,Potential Loyalist.,382.0
30,26,31716.04,3,4,5,345,Potential Loyalist.,63.0
1,24,23078.56,5,3,3,533,Hibernating,494.0
15,22,22193.59,4,2,3,423,Potential Loyalist.,553.0
235,22,20192.31,1,2,2,122,At Risk.,665.0
6,25,25126.35,5,4,4,544,Loyal Customers,349.0
76,25,24918.34,2,4,4,244,Potential Loyalist.,361.0
29,17,18971.76,3,1,2,312,Potential Loyalist.,749.0
11,21,20336.21,5,2,2,522,Hibernating,656.0
56,29,28416.74,2,5,5,255,Potential Loyalist.,171.0
10,34,36299.34,5,5,5,555,Champions,16.0
55,16,18388.43,2,1,2,212,At Risk.,782.0
34,26,24794.8,3,4,4,344,Potential Loyalist.,369.0
93,23,20494.03,1,3,2,132,Potential Loyalist.,648.0
75,21,18394.41,2,2,2,222,At Risk.,781.0
9,22,19834.68,5,2,2,522,Hibernating,694.0
67,17,15826.8,2,1,1,211,At Risk.,903.0
108,20,15676.9,1,2,1,121,At Risk.,911.0
19,27,25727.93,4,4,4,444,Loyal Customers,308.0
1,28,27262.459,5,5,4,554,Loyal Customers,225.0
7,26,29175.21,5,4,5,545,Loyal Customers,145.0
13,21,25294.31,4,2,4,424,Potential Loyalist.,337.0
171,13,14372.08,1,1,1,111,At Risk.,951.0
37,23,17247.75,3,3,1,331,Potential Loyalist.,845.0
26,30,31098.39,3,5,5,355,Potential Loyalist.,82.0
19,25,21797.74,4,4,3,443,Loyal Customers,579.0
15,26,31026.35,4,4,5,445,Loyal Customers,83.0
11,12,15172.891,5,1,1,511,Hibernating,930.0
126,24,22989.25,1,3,3,133,Potential Loyalist.,499.0
76,26,24084.6,2,4,3,243,Potential Loyalist.,418.0
29,28,27376.14,3,5,4,354,Potential Loyalist.,216.0
58,25,23137.39,2,4,3,243,Potential Loyalist.,490.0
111,23,19122.53,1,3,2,132,Potential Loyalist.,740.0
70,17,18281.281,2,1,2,212,At Risk.,790.0
136,25,20051.49,1,4,2,142,Potential Loyalist.,674.0
84,24,26545.709,1,3,4,134,Potential Loyalist.,265.0
22,23,25884.08,4,3,4,434,Potential Loyalist.,302.0
14,17,16685.07,4,1,1,411,Potential Loyalist.,867.0
24,15,15207.33,4,1,1,411,Potential Loyalist.,926.0
18,10,9333.33,4,1,1,411,Potential Loyalist.,999.0
33,25,22648.98,3,4,3,343,Potential Loyalist.,520.0
20,13,17175.13,4,1,1,411,Potential Loyalist.,850.0
41,15,15444.859,3,1,1,311,Potential Loyalist.,919.0
10,23,24158.98,5,3,3,533,Hibernating,411.0
78,15,17883.73,1,1,1,111,At Risk.,813.0
94,25,25132.89,1,4,4,144,Potential Loyalist.,348.0
12,25,30398.51,4,4,5,445,Loyal Customers,97.0
9,24,20066.02,5,3,2,532,Hibernating,672.0
30,28,29505.89,3,5,5,355,Potential Loyalist.,129.0
41,22,19385.53,3,2,2,322,Potential Loyalist.,721.0
34,21,18164.57,3,2,2,322,Potential Loyalist.,800.0
8,33,32842.082,5,5,5,555,Champions,41.0
43,18,20962.68,2,1,2,212,At Risk.,628.0
72,23,25271.47,2,3,4,234,Potential Loyalist.,340.0
11,18,16185.49,5,1,1,511,Hibernating,885.0
76,17,14302.2,2,1,1,211,At Risk.,952.0
32,23,20208.209,3,3,2,332,Potential Loyalist.,664.0
125,19,17165.6,1,1,1,111,At Risk.,851.0
36,18,14440.26,3,1,1,311,Potential Loyalist.,949.0
9,29,26857.73,5,5,4,554,Loyal Customers,249.0
91,20,23217.47,1,2,3,123,At Risk.,481.0
183,22,18116.19,1,2,1,121,At Risk.,806.0
29,25,30995.96,3,4,5,345,Potential Loyalist.,85.0
68,20,19644.81,2,2,2,222,At Risk.,703.0
21,15,16470.4,4,1,1,411,Potential Loyalist.,878.0
2,20,18496.13,5,2,2,522,Hibernating,776.0
1,22,20016.68,5,2,2,522,Hibernating,680.0
10,17,14432.63,5,1,1,511,Hibernating,950.0
50,32,31478.9,2,5,5,255,Potential Loyalist.,69.0
8,24,26316.02,5,3,4,534,Hibernating,279.0
4,24,23864.97,5,3,3,533,Hibernating,430.0
40,16,14499.86,3,1,1,311,Potential Loyalist.,946.0
45,25,25459.65,2,4,4,244,Potential Loyalist.,330.0
21,28,35451.32,4,5,5,455,Loyal Customers,22.0
8,21,23931.459,5,2,3,523,Hibernating,424.0
54,15,18672.7,2,1,2,212,At Risk.,767.0
4,17,15115.08,5,1,1,511,Hibernating,933.0
8,22,18596.31,5,2,2,522,Hibernating,774.0
108,16,16497.14,1,1,1,111,At Risk.,876.0
36,29,27981.69,3,5,5,355,Potential Loyalist.,196.0
152,21,21905.18,1,2,3,123,At Risk.,567.0
2,29,31877.22,5,5,5,555,Champions,58.0
126,22,22256.43,1,2,3,123,At Risk.,548.0
33,17,18342.27,3,1,2,312,Potential Loyalist.,786.0
34,25,25091.57,3,4,4,344,Potential Loyalist.,350.0
248,22,15207.19,1,2,1,121,At Risk.,927.0
6,25,25205.83,5,4,4,544,Loyal Customers,344.0
23,25,29754.95,4,4,5,445,Loyal Customers,116.0
39,23,20183.58,3,3,2,332,Potential Loyalist.,667.0
38,22,18712.44,3,2,2,322,Potential Loyalist.,764.0
7,31,29564.45,5,5,5,555,Champions,126.0
98,23,18284.31,1,3,2,132,Potential Loyalist.,789.0
39,29,26956.12,3,5,4,354,Potential Loyalist.,241.0
103,24,19041.32,1,3,2,132,Potential Loyalist.,744.0
48,17,16183.95,2,1,1,211,At Risk.,886.0
7,21,24120.74,5,2,3,523,Hibernating,415.0
151,23,22535.25,1,3,3,133,Potential Loyalist.,529.0
47,25,23750.21,2,4,3,243,Potential Loyalist.,437.0
34,17,13154.141,3,1,1,311,Potential Loyalist.,972.0
20,24,27838.98,4,3,5,435,Potential Loyalist.,200.0
31,28,28088.33,3,5,5,355,Potential Loyalist.,190.0
69,18,18865.08,2,1,2,212,At Risk.,755.0
52,26,26182.709,2,4,4,244,Potential Loyalist.,288.0
30,24,29582.62,3,3,5,335,Potential Loyalist.,124.0
41,14,11823.91,3,1,1,311,Potential Loyalist.,993.0
48,23,27523.82,2,3,4,234,Potential Loyalist.,211.0
8,28,28009.44,5,5,5,555,Champions,193.0
28,15,16081.25,3,1,1,311,Potential Loyalist.,890.0
3,27,27264.44,5,4,4,544,Loyal Customers,224.0
6,23,21882.21,5,3,3,533,Hibernating,569.0
187,17,19554.46,1,1,2,112,At Risk.,707.0
3,13,12931.7295,5,1,1,511,Hibernating,976.0
28,25,24787.75,3,4,4,344,Potential Loyalist.,371.0
96,31,32522.82,1,5,5,155,Potential Loyalist.,47.0
53,23,31410.55,2,3,5,235,Potential Loyalist.,71.0
33,23,24639.65,3,3,4,334,Potential Loyalist.,385.0
77,28,26167.15,2,5,4,254,Potential Loyalist.,290.0
14,22,18417.12,4,2,2,422,Potential Loyalist.,780.0
45,25,26103.07,2,4,4,244,Potential Loyalist.,292.0
50,25,24876.32,2,4,4,244,Potential Loyalist.,363.0
20,20,17738.94,4,2,1,421,Potential Loyalist.,822.0
35,23,23409.42,3,3,3,333,Potential Loyalist.,468.0
95,28,28268.23,1,5,5,155,Potential Loyalist.,178.0
48,22,26819.54,2,2,4,224,At Risk.,251.0
44,16,17746.75,2,1,1,211,At Risk.,820.0
8,21,18791.39,5,2,2,522,Hibernating,759.0
6,26,28124.5,5,4,5,545,Loyal Customers,186.0
36,27,20667.09,3,4,2,342,Potential Loyalist.,638.0
71,22,29118.91,2,2,5,225,At Risk.,148.0
55,24,24060.63,2,3,3,233,Potential Loyalist.,420.0
71,22,20250.28,2,2,2,222,At Risk.,661.0
10,26,20439.83,5,4,2,542,Loyal Customers,649.0
6,28,23626.18,5,5,3,553,Loyal Customers,445.0
125,23,23762.14,1,3,3,133,Potential Loyalist.,435.0
66,33,35231.82,2,5,5,255,Potential Loyalist.,23.0
23,20,24714.77,4,2,4,424,Potential Loyalist.,374.0
104,23,24832.72,1,3,4,134,Potential Loyalist.,367.0
174,25,27013.371,1,4,4,144,Potential Loyalist.,238.0
28,24,23338.16,3,3,3,333,Potential Loyalist.,473.0
14,22,16664.32,4,2,1,421,Potential Loyalist.,870.0
19,18,20526.54,4,1,2,412,Potential Loyalist.,645.0
117,31,32543.129,1,5,5,155,Potential Loyalist.,46.0
5,29,27119.18,5,5,4,554,Loyal Customers,231.0
112,19,22476.77,1,1,3,113,At Risk.,536.0
33,31,23207.57,3,5,3,353,Potential Loyalist.,485.0
14,21,27666.87,4,2,4,424,Potential Loyalist.,208.0
99,27,22158.34,1,4,3,143,Potential Loyalist.,556.0
1,30,27051.629,5,5,4,554,Loyal Customers,233.0
6,23,26692.97,5,3,4,534,Hibernating,255.0
22,28,32326.49,4,5,5,455,Loyal Customers,49.0
179,28,24616.371,1,5,4,154,Potential Loyalist.,387.0
82,22,16754.84,1,2,1,121,At Risk.,865.0
45,18,18750.09,2,1,2,212,At Risk.,762.0
12,26,24657.03,4,4,4,444,Loyal Customers,383.0
5,26,24115.67,5,4,3,543,Loyal Customers,416.0
34,28,26865.66,3,5,4,354,Potential Loyalist.,248.0
53,27,28101.46,2,4,5,245,Potential Loyalist.,188.0
50,14,14578.101,2,1,1,211,At Risk.,944.0
83,26,26216.31,1,4,4,144,Potential Loyalist.,283.0
4,31,29351.97,5,5,5,555,Champions,137.0
144,23,15190.41,1,3,1,131,Potential Loyalist.,928.0
84,24,20398.02,1,3,2,132,Potential Loyalist.,652.0
51,22,24080.4,2,2,3,223,At Risk.,419.0
187,27,26339.09,1,4,4,144,Potential Loyalist.,276.0
39,20,23504.26,3,2,3,323,Potential Loyalist.,459.0
18,35,31433.0,4,5,5,455,Loyal Customers,70.0
43,24,27028.291,2,3,4,234,Potential Loyalist.,237.0
97,23,21082.18,1,3,2,132,Potential Loyalist.,619.0
34,20,25355.18,3,2,4,324,Potential Loyalist.,334.0
12,26,22734.39,4,4,3,443,Loyal Customers,516.0
29,16,17380.76,3,1,1,311,Potential Loyalist.,840.0
205,18,15991.63,1,1,1,111,At Risk.,895.0
43,23,27754.78,2,3,4,234,Potential Loyalist.,206.0
17,16,19488.42,4,1,2,412,Potential Loyalist.,714.0
134,36,37479.39,1,5,5,155,Potential Loyalist.,10.0
119,21,23287.031,1,2,3,123,At Risk.,476.0
11,23,18333.37,5,3,2,532,Hibernating,787.0
8,35,28346.89,5,5,5,555,Champions,174.0
20,18,20034.129,4,1,2,412,Potential Loyalist.,676.0
117,17,17236.89,1,1,1,111,At Risk.,846.0
51,17,20050.719,2,1,2,212,At Risk.,675.0
30,26,23912.59,3,4,3,343,Potential Loyalist.,426.0
3,21,24908.09,5,2,4,524,Hibernating,362.0
9,24,23196.78,5,3,3,533,Hibernating,486.0
44,22,25191.12,2,2,4,224,At Risk.,345.0
19,17,19527.69,4,1,2,412,Potential Loyalist.,708.0
60,16,19349.67,2,1,2,212,At Risk.,722.0
43,29,25563.51,2,5,4,254,Potential Loyalist.,325.0
96,22,24153.42,1,2,3,123,At Risk.,413.0
114,17,20971.621,1,1,2,112,At Risk.,627.0
16,24,28064.88,4,3,5,435,Potential Loyalist.,192.0
22,27,29706.95,4,4,5,445,Loyal Customers,118.0
55,25,26226.87,2,4,4,244,Potential Loyalist.,282.0
1,15,18556.52,5,1,2,512,Hibernating,775.0
11,30,23058.28,5,5,3,553,Loyal Customers,496.0
9,24,25160.51,5,3,4,534,Hibernating,347.0
46,18,16235.18,2,1,1,211,At Risk.,882.0
82,25,32200.6,1,4,5,145,Potential Loyalist.,53.0
25,24,25631.36,3,3,4,334,Potential Loyalist.,318.0
24,33,32246.83,4,5,5,455,Loyal Customers,50.0
16,31,29537.18,4,5,5,455,Loyal Customers,128.0
6,25,26186.9,5,4,4,544,Loyal Customers,287.0
105,26,28492.0,1,4,5,145,Potential Loyalist.,166.0
113,26,21343.66,1,4,2,142,Potential Loyalist.,601.0
39,18,19456.51,3,1,2,312,Potential Loyalist.,716.0
32,22,18653.94,3,2,2,322,Potential Loyalist.,768.0
1,23,29240.35,5,3,5,535,Hibernating,143.0
37,28,21858.27,3,5,3,353,Potential Loyalist.,572.0
22,20,22560.22,4,2,3,423,Potential Loyalist.,526.0
3,28,25991.5,5,5,4,554,Loyal Customers,296.0
20,23,18602.19,4,3,2,432,Potential Loyalist.,773.0
11,22,22862.25,5,2,3,523,Hibernating,504.0
27,25,27303.59,3,4,4,344,Potential Loyalist.,221.0
41,23,29971.16,3,3,5,335,Potential Loyalist.,110.0
30,16,12774.61,3,1,1,311,Potential Loyalist.,982.0
141,19,19800.59,1,1,2,112,At Risk.,699.0
115,20,18971.83,1,2,2,122,At Risk.,748.0
31,16,15241.98,3,1,1,311,Potential Loyalist.,925.0
43,23,22527.05,2,3,3,233,Potential Loyalist.,530.0
6,25,21081.51,5,4,2,542,Loyal Customers,620.0
23,28,28834.02,4,5,5,455,Loyal Customers,155.0
4,15,12543.38,5,1,1,511,Hibernating,985.0
17,24,23804.16,4,3,3,433,Potential Loyalist.,434.0
110,26,24681.54,1,4,4,144,Potential Loyalist.,378.0
52,27,22830.17,2,4,3,243,Potential Loyalist.,509.0
34,29,32103.72,3,5,5,355,Potential Loyalist.,54.0
84,29,30303.12,1,5,5,155,Potential Loyalist.,101.0
67,20,17344.29,2,2,1,221,At Risk.,842.0
55,19,19161.75,2,1,2,212,At Risk.,735.0
13,18,20915.6,4,1,2,412,Potential Loyalist.,630.0
19,23,21606.38,4,3,3,433,Potential Loyalist.,589.0
15,32,34133.31,4,5,5,455,Loyal Customers,27.0
81,18,18770.56,1,1,2,112,At Risk.,760.0
34,17,13423.43,3,1,1,311,Potential Loyalist.,968.0
74,26,24677.951,2,4,4,244,Potential Loyalist.,379.0
98,20,24243.049,1,2,3,123,At Risk.,407.0
